id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5622756,0,"Uris Safari Lodge",https://angel.co/uris-safari-lodge,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5622756-4bfbdf942a14c5842e66e17cce36aa71-medium_jpg.jpg?buster=1524117635,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5622756-4bfbdf942a14c5842e66e17cce36aa71-thumb_jpg.jpg?buster=1524117635,0,"Uris safari lodge is a lodge that caters for the tourism market in Namibia.
The lodge is located 70km west of Etosha National Park this is a 4* lodge With a morocco style sometime completely different from the rest of the lodges in the surroundings.Uris safari lodge is a stop over lodge to or from Etosha National Park.The property was the old mine workers houses.
We have 2 redundant copper mines on our property where we take guest for an activity.The lodge consist of 22 double rooms and 7 family rooms.",https://www.youtube.com/watch?v=xi5PFPc5bQg,1,http://www.uris-safari-lodge-namibia.com,2018-04-19T06:00:35.000Z,2018-04-19T06:07:01.000Z,,,,,,,Hotels,Tsumeb,11-50,,,
5600707,0,"Barbarian Diving & Marine Services ",https://angel.co/barbarian-diving-marine-services,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5600707-13a051659c36e13656e2e35e59252bab-medium_jpg.jpg?buster=1523726115,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5600707-13a051659c36e13656e2e35e59252bab-thumb_jpg.jpg?buster=1523726115,0,"Our Services:
- Diving
- Marine
- Engineering
- Construction
- Electrical
- Safety
- Training Provider

Our Solutions:
- Emergency pipeline repair services
- Harbour and jetty services
- Inspection, repair and maintenance services
- Subsea repair solutions
- ROV services","Finding Better Ways Commercial Diving",2,http://barbariandivingmarineservices.simdif.com,2018-04-14T17:15:15.000Z,2018-04-14T17:40:08.000Z,,,,,,,"Construction, Civil Engineers, Oil and Gas, Health And Safety","Walvis Bay",,,,
5376880,0,"Etosha Robotics",https://angel.co/etosha-robotics,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5376880-b1ef5c563d7a7bb78c618b89eb33d388-medium_jpg.jpg?buster=1519687011,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5376880-b1ef5c563d7a7bb78c618b89eb33d388-thumb_jpg.jpg?buster=1519687011,0,"MIRACLE NOMAD
Our flagship bipedal robot, Miracle Nomad (MN3) was born on the beautiful but unforgiving Etosha Pan. A robust and rugged robotics platform, MN3 is the first truly integrated self-sustaining, sentient, and fully International Robotic Ethics Commission (IREC) Certified robot available for export.*

DEW FARMER
Dew Farmer answers a critical need in drought stricken and resource scarce regions for clean water by harvesting pure moisture and performing complete filtration, self maintenance, and remote sensing of environmental fluctuations in both native aquifers and precipitation.*

THE HATCHERY
Producing native curiosity and self-aware AI neural networks was a breakthrough technology brought to the world by Dr. Frederick Yanko, and our patented Sakana Hatchery system builds on his discovery by utilizing animal kingdom hosts to develop optimal candidate AI. The initial process of selection begins with exceptional behaviors modeled on Phylum Chordata.*","With Nature as our model, we build curious machines.",1,https://www.etosharobotics.com/,2018-02-26T23:16:53.000Z,2018-05-07T17:58:38.000Z,,,,,,https://youtu.be/AXpKk79YOG8,"Robotics, Aquaculture, Environmental Innovation, Geospatial, Sustainable Fish Farming, Artificial Neural Networks",Windhoek,11-50,,"Miracle Nomad is now on duty, anytime, anyplace. https://twitter.com/EtoshaRobotics/status/992501374658084864","https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/862/716/862716-d7b4719e0d0c17ffa0cdb7bcd1a6fa0144c1fe6c.jpg?1519974570, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/862/717/862717-1b044ea31880cd67ec30dc6cc809a940d81d2a06.JPG?1519974608"
5262293,0,"J C Trading & Enterprises",https://angel.co/j-c-trading-enterprises,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5262293-1abdec67bba2f5503176b37bc7318be6-medium_jpg.jpg?buster=1517495077,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5262293-1abdec67bba2f5503176b37bc7318be6-thumb_jpg.jpg?buster=1517495077,0,"We manufacture school uniforms in & around our town of Rehoboth. Most of the  parents need to cover more than 90km to acquire school uniforms. The town has got 10 schools which educates an everage of 1000 learners per school & villages outside Rehoboth 10 schools which educates an average of 300 learners per school.  This is our third year running the bussiness with no financial support. All the funds came out of our own pocket to buy the machinery and raw material. The funds we have accumalated will not even be enough to manufacture 10% of the school uniforms. We already established a strong name the only challenge we have is the lack of funds to take the bussiness to the next level. by investing in our bussiness you are ensuring jobs, creating jobs & to eradicate poverty in our town.

Member

Divan Louw

JC Trading & Enterprises","Manufacturing of school uniforms",1,http://jcschoolsupplies.wixsite.com/jcschoolwear,2018-02-01T14:24:37.000Z,2018-02-01T15:48:12.000Z,,,,,,,"Government Schools, High School Students, High Schools, Professionnal Training,Schools",Rehoboth,,,,
5174826,0,"Route Namibia Trading CC",https://angel.co/route-namibia-trading-cc,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5174826-7ba4f41973d9ad70317f791daf03bed4-medium_jpg.jpg?buster=1516025816,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5174826-7ba4f41973d9ad70317f791daf03bed4-thumb_jpg.jpg?buster=1516025816,0,"At the moment, we are working on importing pre-owned industrial machinery from Europe into China.","Trading Smartphones and pre-owned industrial machines",1,"http://No website",2018-01-15T14:16:56.000Z,2018-01-15T14:19:49.000Z,,,,,,,Importer,Namibia,1-10,,,
5157073,0,"Void Capital Advisors",https://angel.co/void-capital-advisors,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5157073-1f9199deb95bdf0d02bde166e7b6e984-medium_jpg.jpg?buster=1516117637,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5157073-1f9199deb95bdf0d02bde166e7b6e984-thumb_jpg.jpg?buster=1516117637,0,"Void Capital Advisors specialises in rendering independent investment advisory services and performing economic analysis.","Rendering securities and/or investment advisory services and performing economic analysis",1,"http://coming soon!",2018-01-11T11:46:24.000Z,2018-01-16T15:47:17.000Z,,,,,,,"Financial Services, Venture Capital, Social Entrepreneurship","Windhoek, Namibia",1-10,"Consumer Financial Services",,
4159097,0,"Healing Broken ",https://angel.co/healing-broken,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4159097-7dd27ccc5c212435755bdcce640af2aa-medium_jpg.jpg?buster=1495442047,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4159097-7dd27ccc5c212435755bdcce640af2aa-thumb_jpg.jpg?buster=1495442047,4,"Healing broken is a personal development brand that encourages shining light on your ""brokenness"" in order to find your power. When you shine light on your darkness you are no  longer held back by that which you thought was limiting you. You transcend your trauma and bloom into your greatness.","Transcending Trauma ",1,http://www.nelaonengola.com,2017-05-22T08:34:08.000Z,2017-05-22T08:43:42.000Z,,,,,,,"Ecommerce, Self Help",Windhoek,,,,
3561075,0,"Imasulus Workout",https://angel.co/imasulus-workout,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3561075-9e409dede745538abcfd8df097204955-medium_jpg.jpg?buster=1487541279,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3561075-9e409dede745538abcfd8df097204955-thumb_jpg.jpg?buster=1487541279,2,"Imasulus Workout, is a new business to be incorporated very soon in Namibia, as a close corporation, aiming to cope with the potential demand of dietary, bodybuilding and sport supplements of the African countries and also worldwide. The company aims to set up an online distribution model to sell dietary supplements, sports supplements, bodybuilding supplements, training equipment and gear. The business model will differentiate from existing players since the company will provide a dedicated and full featured consulting to the customers in order to guide them to the most appropriate purchase. The company will manage a dedicated website and a mobile application that will become an online information hub providing customers cheaper products plus guidelines, tip and advice that helping customers in achieving their optimum health and fitness goals.","Quality products for quality a workout",0,http://imasulusworkout.com,2017-02-03T09:58:09.000Z,2017-02-19T21:55:17.000Z,,,,,,,"E-Commerce, Fitness, Health and Wellness, Dietary Supplements","Hochland Park",1-10,"Supplement , E Commerce, Fitness",,
3030325,0,"Temps ",https://angel.co/temps-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3030325-d8ae53534acc75137cb3f59d9b29abfa-medium_jpg.jpg?buster=1478418495,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3030325-d8ae53534acc75137cb3f59d9b29abfa-thumb_jpg.jpg?buster=1478418495,4,"a website that offers users a chance to apply for jobs,acquire free knowledge,self empowering and mind power knowledge.The overall objective is to reduce costs for the applicants and employers.its simple and to the point with a large turnover nationally.
We have created the perfect master peice for our nation that will in the long term benefit that Sadc and foreign countries as well.
Business plans can be requested from godfreyliseli@gmail.com","Making life simpler by empowering the mind ",2,"http://umder construction",2016-11-06T07:48:16.000Z,2016-11-23T05:48:24.000Z,,,,,,,Education,Namibia,,,,
2977145,0,"David Grand Trading cc",https://angel.co/david-grand-trading-cc,https://d1qb2nb5cznatu.cloudfront.net/startups/i/2977145-23cd6c23732a49aa3778e75abe8f38b9-medium_jpg.jpg?buster=1478065171,https://d1qb2nb5cznatu.cloudfront.net/startups/i/2977145-23cd6c23732a49aa3778e75abe8f38b9-thumb_jpg.jpg?buster=1478065171,4,"Graphic Design,Photography & Video Services","Graphic Design, Photography and Video Services ",1,http://www.davidgrand.com.na,2016-11-02T05:39:34.000Z,2016-11-02T05:44:32.000Z,,,,https://www.facebook.com/davidgrandtrading,,,"Digital Media",Windhoek,1-10,"Marketing Services",,
